1	114403.37	113421.97	0.39
2	136644.70	135905.23	0.08
3	131811.43	131113.37	0.12
4	139651.27	138803.13	0.11
5	123724.13	123180.40	0.28
6	143990.60	143697.13	0.05
7	140980.90	140230.93	0.12
8	123854.10	123028.40	0.10
9	144811.80	144142.20	0.06
10	129425.00	128907.03	0.06
11	256106.33	254876.80	0.13
12	237024.10	235794.17	0.11
13	267398.93	266256.50	0.07
14	264948.47	263564.33	0.07
15	269121.87	267928.97	0.07
16	258137.07	257078.10	0.05
17	301959.77	300636.53	0.02
18	272513.33	270528.42	0.02
19	271334.80	269789.20	0.11
20	258293.63	257227.73	0.09
21	388965.90	386973.47	0.12
22	388160.43	387145.87	0.05
23	377217.47	375462.80	0.11
24	383344.93	382062.17	0.16
25	356141.70	354964.57	0.08
26	401376.73	399294.87	0.11
27	400153.47	398477.90	0.10
28	390539.20	388601.17	0.10
29	403275.43	401345.47	0.17
30	416307.17	414569.87	0.07
31	552470.50	551161.53	0.10
32	590592.50	588935.37	0.12
33	550759.17	549388.30	0.09
34	518013.77	515834.70	0.10
35	579441.57	577178.03	0.16
36	551347.40	548818.90	0.12
37	528319.33	526080.87	0.13
38	559815.40	558552.47	0.03
39	507630.00	506113.37	0.11
40	529331.10	527768.97	0.12
41	626560.13	624244.00	0.16
42	662737.13	659674.20	0.14
43	723439.10	721226.90	0.12
44	695695.10	694638.63	0.14
45	657425.93	655912.07	0.19
46	728127.00	726638.47	0.15
47	729942.50	727673.13	0.13
48	631030.37	629314.20	0.13
49	694725.23	691221.23	0.16
50	619426.93	617756.67	0.14
51	121443.48	120321.57	0.26
52	121089.87	119852.58	1.32
53	126564.30	125349.33	0.60
54	151675.37	150216.33	0.54
55	120019.23	118276.40	1.52
56	164729.35	163449.92	0.51
57	148226.32	146930.02	1.06
58	150658.30	149313.97	0.50
59	134320.13	133047.67	0.42
60	120057.22	118895.10	1.01
61	238954.62	237665.92	0.28
62	316777.67	315486.80	0.14
63	268804.10	266798.47	0.24
64	228628.83	227069.93	0.53
65	232526.62	231017.02	0.55
66	242338.70	240201.18	0.26
67	307120.30	305314.23	0.10
68	282963.23	281199.55	0.15
69	235328.73	233460.97	0.68
70	263052.27	261101.47	0.52
71	358648.75	356326.98	0.21
72	413033.98	411322.03	0.22
73	434176.45	432220.75	0.44
74	432626.60	430347.90	0.13
75	396229.75	393903.33	0.29
76	383558.35	381586.93	0.29
77	362219.83	359610.78	0.23
78	431008.08	428657.98	0.16
79	392168.77	389922.77	0.22
80	420492.88	417204.65	0.20
81	600640.82	596031.67	0.12
82	653594.87	649840.65	0.17
83	571696.27	569046.30	0.15
84	580074.28	576807.85	0.07
85	597462.38	593596.37	0.13
86	550281.80	546767.18	0.20
87	577637.62	574133.05	0.21
88	546740.92	543288.35	0.16
89	517631.62	514157.08	0.26
90	580021.03	576072.75	0.15
91	638874.85	636545.32	0.40
92	725012.57	721348.12	0.30
93	785116.80	781510.13	0.19
94	739240.82	736344.40	0.09
95	643412.62	640954.93	0.23
96	637151.87	633818.90	0.32
97	664212.92	660363.40	0.30
98	699177.53	696085.27	0.16
99	551132.30	546952.25	0.35
100	579862.82	576218.38	0.40
101	175495.05	173057.92	3.78
102	163599.35	161089.04	2.01
103	186542.12	184450.93	2.31
104	150716.59	148466.57	0.51
105	153791.67	151740.10	0.60
106	121114.93	119116.50	15.39
107	141767.42	139765.33	0.63
108	172118.62	169994.77	13.99
109	122842.78	120850.17	16.15
110	196563.05	194189.30	31.62
111	255219.20	252733.70	3.44
112	293927.63	292538.60	1.00
113	221872.30	219304.43	6.43
114	292189.60	289582.98	53.20
115	229302.63	227323.72	39.85
116	301761.07	298704.10	3.17
117	283194.00	280313.62	4.57
118	343147.20	341437.98	0.77
119	280234.13	277784.28	0.96
120	223305.80	221522.58	2.05
121	342752.70	340121.87	1.09
122	501772.00	498816.12	0.36
123	417212.27	415030.87	0.31
124	496117.20	492539.32	1.02
125	454764.70	451655.13	0.77
126	473986.60	469923.63	1.16
127	355213.40	351895.78	0.38
128	421407.08	418209.35	5.33
129	408218.45	404968.00	1.30
130	432664.07	429137.40	0.68
131	711576.85	707720.15	0.21
132	651916.10	648028.18	0.73
133	458629.92	455168.28	0.49
134	631725.37	628844.37	0.46
135	476185.78	473352.77	0.21
136	545984.00	541907.02	1.95
137	484904.77	482108.05	1.19
138	615183.10	610683.68	0.42
139	515378.57	511569.25	0.44
140	570091.67	567424.08	0.15
141	663225.83	658773.55	0.76
142	765566.35	760088.55	0.40
143	770056.50	765431.42	0.21
144	725825.84	719603.17	0.19
145	647033.23	643088.37	2.93
146	729087.00	724508.53	0.23
147	544634.10	541456.13	0.62
148	749693.23	745164.63	0.49
149	675208.98	671888.35	0.20
150	715411.13	709432.43	0.61
