1	1615179.08	1611114.45	0.25	0.49
2	1969068.19	1964875.28	0.21	0.21
3	1707246.20	1701488.36	0.34	0.33
4	1651720.17	1649783.91	0.12	0.45
5	1842871.52	1839124.86	0.20	0.23
6	1914524.36	1910550.59	0.21	0.18
7	1612257.73	1608349.04	0.24	0.20
8	1763824.37	1759303.74	0.26	0.26
9	1813086.72	1808621.17	0.25	0.26
10	1622940.95	1621018.43	0.12	0.42
11	3843981.53	3831723.56	0.32	0.36
12	3320265.78	3303141.91	0.52	0.54
13	3584256.07	3579911.60	0.12	0.42
14	3441923.12	3438712.61	0.09	0.49
15	3350919.07	3347685.99	0.10	0.35
16	3808374.00	3799119.56	0.24	0.26
17	3856671.69	3849245.31	0.19	0.40
18	3760601.87	3752574.00	0.21	0.58
19	3313428.90	3308651.28	0.14	0.43
20	3459796.71	3448123.07	0.34	0.26
21	5636750.82	5621811.44	0.27	0.90
22	5908857.42	5902507.96	0.11	0.81
23	5900705.84	5879977.69	0.35	0.45
24	5796781.00	5782966.89	0.24	0.42
25	5303098.51	5297206.86	0.11	0.68
26	5799860.23	5796872.51	0.05	0.50
27	5021238.26	5014638.87	0.13	0.59
28	5202853.74	5183085.42	0.38	0.64
29	4907408.67	4894195.16	0.27	0.58
30	5194591.95	5187866.91	0.13	0.78
31	7642001.98	7628485.03	0.18	0.75
32	6998798.52	6995425.52	0.05	0.79
33	6690742.20	6681163.88	0.14	1.07
34	6598902.64	6591374.16	0.11	0.90
35	6485432.61	6467781.04	0.27	1.03
36	7134285.02	7118576.85	0.22	1.58
37	7305631.36	7296936.31	0.12	2.25
38	7648311.50	7628255.65	0.26	1.54
39	7019083.60	7015730.99	0.05	1.53
40	6521602.01	6500889.04	0.32	3.08
41	9197434.10	9194214.10	0.04	2.16
42	8715782.49	8684531.82	0.36	1.73
43	8510785.95	8489949.32	0.25	3.00
44	9003843.36	8996877.72	0.08	2.17
45	8783770.86	8766383.77	0.20	2.40
46	8544661.60	8534117.07	0.12	3.29
47	8646839.62	8642807.09	0.05	2.55
48	8229399.66	8221911.62	0.09	2.27
