1	1543108.20	38767.68	33303.20	0.00	1615179.08
2	1607036.03	193152.96	168879.20	0.00	1969068.19
3	1598572.60	82274.08	26399.52	0.00	1707246.20
4	1567032.49	52512.32	32175.36	0.00	1651720.17
5	1567255.20	159942.72	115673.60	0.00	1842871.52
6	1574881.00	139465.76	200177.60	0.00	1914524.36
7	1554975.33	30288.16	26994.24	0.00	1612257.73
8	1611822.45	116052.16	35949.76	0.00	1763824.37
9	1601441.44	132621.44	79023.84	0.00	1813086.72
10	1556149.75	51596.16	15195.04	0.00	1622940.95
11	3194052.25	364810.88	285118.40	0.00	3843981.53
12	3125708.34	113760.64	80796.80	0.00	3320265.78
13	3188406.63	263777.92	132071.52	0.00	3584256.07
14	3125394.32	186757.76	129771.04	0.00	3441923.12
15	3082701.47	128651.04	139566.56	0.00	3350919.07
16	3151943.12	348052.32	308378.56	0.00	3808374.00
17	3192386.25	375322.08	288963.36	0.00	3856671.69
18	3183648.43	335135.36	241818.08	0.00	3760601.87
19	3162731.78	96325.60	54371.52	0.00	3313428.90
20	3151445.03	178935.68	129416.00	0.00	3459796.71
21	4684513.38	426198.08	526039.36	0.00	5636750.82
22	4825089.42	640351.04	443416.96	0.00	5908857.42
23	4821706.80	594786.08	484212.96	0.00	5900705.84
24	4805710.92	544995.36	446074.72	0.00	5796781.00
25	4804229.23	391744.64	107124.64	0.00	5303098.51
26	4752329.83	531260.80	516269.60	0.00	5799860.23
27	4748486.90	166326.72	106424.64	0.00	5021238.26
28	4728273.90	299864.32	174715.52	0.00	5202853.74
29	4703223.71	132784.96	71400.00	0.00	4907408.67
30	4666326.03	229559.68	298706.24	0.00	5194591.95
31	6365022.78	737621.92	539357.28	0.00	7642001.98
32	6320954.36	437137.12	240707.04	0.00	6998798.52
33	6317585.08	288149.12	85008.00	0.00	6690742.20
34	6288716.40	237843.20	72343.04	0.00	6598902.64
35	6193885.41	148434.72	143112.48	0.00	6485432.61
36	6326355.10	441716.80	366213.12	0.00	7134285.02
37	6153983.52	530670.56	620977.28	0.00	7305631.36
38	6433477.74	773280.48	441553.28	0.00	7648311.50
